2017-04-20T00:00, LEESEL TRANSP CORP , 108.39999999999999, RELIANT TRANS, 57.4, NEW DAWN TRANSIT, 56.4, G.V.C., 46.199999999999996, PIONEER TRANSPORTATION CO, 43.9
2017-04-27T00:00, LEESEL TRANSP CORP , 105.0, NEW DAWN TRANSIT, 69.2, RELIANT TRANS, 65.8, PIONEER TRANSPORTATION CO, 53.900000000000006, G.V.C., 45.7
2017-05-04T00:00, LEESEL TRANSP CORP , 107.9, NEW DAWN TRANSIT, 100.3, RELIANT TRANS, 56.6, PIONEER TRANSPORTATION CO, 55.0, G.V.C., 49.7
2017-05-11T00:00, LEESEL TRANSP CORP , 125.1, NEW DAWN TRANSIT, 89.4, RELIANT TRANS, 72.0, G.V.C., 70.8, PIONEER TRANSPORTATION CO, 69.5
2017-05-18T00:00, LEESEL TRANSP CORP , 144.79999999999998, NEW DAWN TRANSIT, 94.19999999999999, RELIANT TRANS, 81.0, PIONEER TRANSPORTATION CO, 80.19999999999999, G.V.C., 55.9
2017-05-25T00:00, LEESEL TRANSP CORP , 101.60000000000001, PIONEER TRANSPORTATION CO, 53.3, RELIANT TRANS, 51.5, NEW DAWN TRANSIT, 48.7, G.V.C., 32.1
2017-06-01T00:00, LEESEL TRANSP CORP , 106.60000000000001, NEW DAWN TRANSIT, 92.9, PIONEER TRANSPORTATION CO, 59.0, RELIANT TRANS, 54.300000000000004, G.V.C., 41.199999999999996
2017-06-08T00:00, LEESEL TRANSP CORP , 96.6, G.V.C., 48.599999999999994, RELIANT TRANS, 44.8, NEW DAWN TRANSIT, 35.699999999999996, PIONEER TRANSPORTATION CO, 32.6
2017-06-15T00:00, LEESEL TRANSP CORP , 97.2, NEW DAWN TRANSIT, 59.2, G.V.C., 49.4, PIONEER TRANSPORTATION CO, 48.199999999999996, RELIANT TRANS, 45.3
2017-06-22T00:00, LEESEL TRANSP CORP , 55.8, PIONEER TRANSPORTATION CO, 34.699999999999996, NEW DAWN TRANSIT, 33.6, G.V.C., 32.6, RELIANT TRANS, 30.700000000000003
2017-06-29T00:00, RELIANT TRANS, 22.0, HOYT TRANSPORTATION CORP., 11.2, G.V.C., 7.5, L & M BUS CORP., 6.6, PIONEER TRANSPORTATION CO, 5.1
2017-07-06T00:00, G.V.C., 49.9, HOYT TRANSPORTATION CORP., 34.2, PRIDE TRANSPORTATION , 17.9, ALL AMERICAN SCHOOL BUS C, 15.8, L & M BUS CORP., 14.0
2017-07-13T00:00, PRIDE TRANSPORTATION , 30.099999999999998, G.V.C., 28.4, HOYT TRANSPORTATION CORP., 26.5, LOGAN BUS COMPANY INC., 20.9, RELIANT TRANS, 15.3
2017-07-20T00:00, G.V.C., 33.699999999999996, PRIDE TRANSPORTATION , 32.5, HOYT TRANSPORTATION CORP., 29.1, LOGAN BUS COMPANY INC., 21.4, RELIANT TRANS, 18.6
2017-07-27T00:00, PRIDE TRANSPORTATION , 32.8, HOYT TRANSPORTATION CORP., 23.7, G.V.C., 20.9, LOGAN BUS COMPANY INC., 20.7, RELIANT TRANS, 15.1
2017-08-03T00:00, PRIDE TRANSPORTATION , 19.9, HOYT TRANSPORTATION CORP., 16.1, G.V.C., 10.4, ALL AMERICAN SCHOOL BUS C, 8.7, LOGAN BUS COMPANY INC., 7.2
2017-08-31T00:00, RELIANT TRANS, 23.900000000000002, LEESEL TRANSP CORP , 7.3999999999999995, LOGAN BUS COMPANY INC., 6.7, L & M BUS CORP., 3.8, SNT BUS INC, 3.1
2017-09-07T00:00, RELIANT TRANS, 290.2, LEESEL TRANSP CORP , 146.6, PIONEER TRANSPORTATION CORP, 60.4, VAN TRANS LLC , 31.4, BORO TRANSIT, 27.6
2017-09-14T00:00, LEESEL TRANSP CORP , 318.2, RELIANT TRANS, 197.29999999999998, PIONEER TRANSPORTATION CORP, 73.3, NEW DAWN TRANSIT, 59.5, G.V.C., 32.4
2017-09-21T00:00, LEESEL TRANSP CORP , 230.6, RELIANT TRANS, 121.8, PIONEER TRANSPORTATION CORP, 52.8, G.V.C., 33.4, BORO TRANSIT, 24.8
2017-09-28T00:00, LEESEL TRANSP CORP , 368.2, RELIANT TRANS, 183.4, PIONEER TRANSPORTATION CORP, 71.0, NEW DAWN TRANSIT, 57.199999999999996, VAN TRANS LLC , 41.099999999999994
2017-10-05T00:00, LEESEL TRANSP CORP , 284.4, RELIANT TRANS, 73.6, PIONEER TRANSPORTATION CORP, 60.0, NEW DAWN TRANSIT, 32.0, G.V.C., 29.4
2017-10-12T00:00, LEESEL TRANSP CORP , 218.2, RELIANT TRANS, 132.70000000000002, PIONEER TRANSPORTATION CORP, 82.5, G.V.C., 42.2, NEW DAWN TRANSIT, 32.9
2017-10-19T00:00, LEESEL TRANSP CORP , 280.2, RELIANT TRANS, 142.5, PIONEER TRANSPORTATION CORP, 85.8, G.V.C., 62.5, NEW DAWN TRANSIT, 35.0
2017-10-26T00:00, LEESEL TRANSP CORP , 268.79999999999995, RELIANT TRANS, 101.8, PIONEER TRANSPORTATION CORP, 82.1, G.V.C., 50.199999999999996, Y & M TRANSIT CORP , 42.0
2017-11-02T00:00, LEESEL TRANSP CORP , 131.49999999999997, RELIANT TRANS, 52.6, G.V.C., 33.9, PIONEER TRANSPORTATION CORP, 23.0, NEW DAWN TRANSIT, 22.1
2017-11-09T00:00, LEESEL TRANSP CORP , 229.6, RELIANT TRANS, 111.9, PIONEER TRANSPORTATION CORP, 81.5, G.V.C., 49.6, BORO TRANSIT, 46.900000000000006
2017-11-16T00:00, LEESEL TRANSP CORP , 188.1, RELIANT TRANS, 79.3, PIONEER TRANSPORTATION CORP, 65.9, BORO TRANSIT, 34.5, G.V.C., 32.49999999999999
2017-11-23T00:00, LEESEL TRANSP CORP , 107.3, RELIANT TRANS, 48.9, PIONEER TRANSPORTATION CORP, 40.9, G.V.C., 24.2, BORO TRANSIT, 21.0
2017-11-30T00:00, LEESEL TRANSP CORP , 165.79999999999998, PIONEER TRANSPORTATION CORP, 75.1, RELIANT TRANS, 57.4, VAN TRANS LLC , 51.599999999999994, BORO TRANSIT, 30.8
2017-12-07T00:00, LEESEL TRANSP CORP , 247.99999999999997, PIONEER TRANSPORTATION CORP, 89.5, RELIANT TRANS, 89.4, NEW DAWN TRANSIT, 53.3, VAN TRANS LLC , 50.8
2017-12-14T00:00, LEESEL TRANSP CORP , 330.79999999999995, RELIANT TRANS, 149.3, PIONEER TRANSPORTATION CORP, 148.8, VAN TRANS LLC , 80.6, NEW DAWN TRANSIT, 77.0
