2015-12-28T00:00, BORO TRANSIT, 0.9, HAPPY CHILD TRANS LLC , 0.6, LORISSA BUS SERVICE INC., 0.5, QUALITY TRANSPORTATION CO, 0.3, ALL AMERICAN SCHOOL BUS C, 0.2
2015-12-29T00:00, HAPPY CHILD TRANS LLC , 0.9, THOMAS BUSES, 0.2, G.V.C., 0.2
2015-12-30T00:00, HAPPY CHILD TRANS LLC , 0.3, RELIANT TRANS, 0.3, NEW DAWN TRANSIT, 0.3, B & F SKILLED INC., 0.3
2015-12-31T00:00, BORO TRANSIT, 0.5, SNT BUS INC, 0.3, B & F SKILLED INC., 0.3
2016-01-04T00:00, RELIANT TRANS, 17.3, PIONEER TRANSPORTATION CO, 11.5, NEW DAWN TRANSIT, 10.8, LITTLE RICHIE BUS SERVICE, 9.7, G.V.C., 9.2
2016-01-05T00:00, LITTLE RICHIE BUS SERVICE, 20.7, RELIANT TRANS, 20.2, PIONEER TRANSPORTATION CO, 13.6, LORINDA ENT. LTD., 13.1, NEW DAWN TRANSIT, 11.3
2016-01-06T00:00, RELIANT TRANS, 11.3, BORO TRANSIT, 9.600000000000001, NEW DAWN TRANSIT, 9.4, LITTLE RICHIE BUS SERVICE, 8.9, PIONEER TRANSPORTATION CO, 6.4
2016-01-07T00:00, NEW DAWN TRANSIT, 14.299999999999999, RELIANT TRANS, 11.0, PIONEER TRANSPORTATION CO, 9.3, G.V.C., 7.7, LITTLE RICHIE BUS SERVICE, 7.2
2016-01-08T00:00, NEW DAWN TRANSIT, 9.2, RELIANT TRANS, 8.5, HAPPY CHILD TRANS LLC , 7.9, PIONEER TRANSPORTATION CO, 7.5, G.V.C., 6.4
2016-01-11T00:00, NEW DAWN TRANSIT, 13.600000000000001, G.V.C., 8.6, BORO TRANSIT, 8.6, RELIANT TRANS, 7.6000000000000005, LEESEL TRANSP CORP , 5.2
2016-01-12T00:00, RELIANT TRANS, 25.799999999999997, LEESEL TRANSP CORP , 10.0, G.V.C., 9.600000000000001, CAREFUL BUS, 8.7, NEW DAWN TRANSIT, 8.4
2016-01-13T00:00, RELIANT TRANS, 12.899999999999999, NEW DAWN TRANSIT, 10.9, LITTLE RICHIE BUS SERVICE, 9.0, BORO TRANSIT, 8.3, G.V.C., 7.6
